employee_id,employee_name,department,region,joining_date,performance_score,attendance_rate,training_hours,productivity_score,attrition_status
EMP-0279,Cameron Williams,Marketing,REG-05,2022-01-24,68.1,87.7,54.9,74.1,No
EMP-0280,Jordan Brown,Finance,REG-04,2023-02-23,63.1,92.0,67.3,78.1,No
EMP-0281,Alex Hernandez,Finance,REG-03,2024-08-28,73.5,95.4,50.9,77.1,No
EMP-0282,Pat Smith,Finance,REG-01,2022-04-19,82.4,86.7,76.9,87.8,No
EMP-0283,Cameron Wilson,Sales,REG-02,2024-04-04,76.8,98.2,79.5,90.0,No
EMP-0284,Reese Martinez,Operations,REG-04,2022-09-19,78.7,91.4,71.5,85.7,No
EMP-0285,Avery Miller,Finance,REG-02,2023-04-20,74.8,85.9,10.7,59.7,No
EMP-0286,Sam Davis,HR,REG-01,2023-06-08,89.2,91.6,56.0,84.2,No
EMP-0287,Dakota Johnson,Operations,REG-01,2023-05-18,71.4,97.7,19.1,65.0,No
EMP-0288,Alex Smith,Marketing,REG-05,2024-01-25,88.3,92.9,67.7,88.6,No
EMP-0289,Morgan Miller,Operations,REG-02,2024-05-03,67.7,89.9,26.1,63.8,No
EMP-0290,Casey Miller,HR,REG-04,2024-08-25,97.1,92.6,18.2,73.4,No
EMP-0291,Casey Miller,HR,REG-03,2023-03-19,67.3,95.7,10.7,59.6,Yes
EMP-0292,Taylor Brown,Engineering,REG-04,2023-12-04,96.6,87.2,11.0,68.9,No
EMP-0293,Alex Anderson,Finance,REG-02,2022-01-03,62.4,85.3,46.3,67.9,Yes
EMP-0294,Sam Lopez,Engineering,REG-04,2023-04-10,69.3,86.7,10.3,57.6,No
EMP-0295,Dakota Gonzalez,Operations,REG-01,2022-05-05,69.8,91.1,10.2,59.1,No
EMP-0296,Skyler Wilson,Sales,REG-04,2023-08-05,89.4,94.4,67.4,89.4,No
EMP-0297,Riley Brown,Marketing,REG-05,2023-11-21,80.7,96.6,60.9,84.1,No
EMP-0298,Dakota Smith,Marketing,REG-01,2023-07-09,91.0,90.1,48.0,81.4,No
EMP-0299,Jordan Wilson,Operations,REG-04,2023-05-07,99.0,90.8,12.8,71.6,Yes
EMP-0300,Dakota Wilson,Operations,REG-05,2022-10-11,86.7,88.7,18.3,68.2,Yes
EMP-0301,Skyler Brown,Marketing,REG-01,2024-08-09,63.7,98.2,32.3,67.1,No
EMP-0302,Casey Hernandez,HR,REG-03,2022-12-04,79.5,96.4,77.4,89.7,No
EMP-0303,Alex Brown,Engineering,REG-03,2024-04-04,93.1,85.2,35.4,76.1,No
EMP-0304,Morgan Jones,Marketing,REG-04,2022-01-31,77.4,90.6,50.2,77.0,No
EMP-0305,Sam Martinez,Engineering,REG-03,2024-06-02,75.8,91.6,60.1,80.3,No
EMP-0306,Casey Williams,HR,REG-01,2024-04-09,65.4,96.5,73.7,82.7,No
EMP-0307,Taylor Anderson,Finance,REG-02,2023-06-10,77.4,98.8,30.2,71.9,Yes
EMP-0308,Cameron Miller,Finance,REG-01,2023-06-28,73.5,98.3,44.8,75.7,No
EMP-0309,Cameron Williams,Marketing,REG-02,2024-03-19,95.6,94.6,23.5,75.4,No
EMP-0310,Cameron Brown,HR,REG-04,2022-01-18,60.3,86.3,53.4,70.0,No
EMP-0311,Casey Williams,Operations,REG-03,2022-04-20,81.4,95.3,75.7,89.5,No
EMP-0312,Quinn Hernandez,HR,REG-03,2023-08-02,60.7,95.0,72.5,80.0,No
EMP-0313,Alex Smith,Marketing,REG-05,2022-06-27,68.5,89.0,38.6,68.6,Yes
EMP-0314,Taylor Rodriguez,Finance,REG-05,2022-05-27,77.9,85.4,60.6,79.5,No
EMP-0315,Taylor Brown,Finance,REG-05,2024-01-23,98.6,94.4,14.8,73.3,Yes
EMP-0316,Alex Hernandez,HR,REG-05,2024-01-03,74.6,92.5,40.1,72.6,No
EMP-0317,Morgan Wilson,Engineering,REG-03,2022-11-16,74.9,85.7,71.3,82.4,No
EMP-0318,Cameron Williams,Marketing,REG-04,2022-08-13,93.2,89.5,67.8,89.6,Yes
EMP-0319,Dakota Johnson,HR,REG-02,2022-01-08,74.3,95.8,65.9,83.2,No
EMP-0320,Reese Jones,Marketing,REG-02,2022-09-23,69.2,93.4,39.5,70.5,No
EMP-0321,Pat Rodriguez,Finance,REG-02,2024-08-20,72.4,86.5,57.6,76.5,No
EMP-0322,Avery Williams,Marketing,REG-04,2022-01-04,79.9,97.7,59.3,83.5,No
EMP-0323,Chris Anderson,Engineering,REG-04,2024-09-02,66.0,87.0,78.8,82.0,No
EMP-0324,Dakota Anderson,Marketing,REG-04,2024-05-22,81.3,92.7,69.1,86.2,No
EMP-0325,Sam Davis,Marketing,REG-01,2023-11-10,66.2,85.9,24.5,61.4,Yes
EMP-0326,Pat Anderson,Sales,REG-05,2022-11-07,79.5,92.3,31.1,71.2,Yes
EMP-0327,Morgan Garcia,HR,REG-02,2022-11-11,62.1,95.9,71.5,80.4,No
EMP-0328,Casey Williams,Sales,REG-02,2022-03-30,73.1,94.6,69.0,83.5,No
EMP-0329,Quinn Garcia,Finance,REG-03,2022-09-20,82.4,87.6,77.9,88.5,No
EMP-0330,Sam Gonzalez,HR,REG-01,2024-02-24,64.8,95.1,52.9,74.3,No
EMP-0331,Casey Rodriguez,Sales,REG-05,2022-05-31,78.1,85.0,56.8,78.0,No
EMP-0332,Morgan Garcia,Engineering,REG-05,2024-03-18,71.2,98.1,45.2,74.9,No
EMP-0333,Jordan Rodriguez,Operations,REG-03,2023-08-24,91.3,93.1,79.5,94.3,No
EMP-0334,Skyler Gonzalez,Sales,REG-03,2024-05-17,63.8,86.5,13.1,56.4,Yes
EMP-0335,Skyler Anderson,HR,REG-03,2022-07-20,85.6,89.2,66.2,85.8,No
EMP-0336,Skyler Smith,Sales,REG-04,2022-02-22,72.1,96.2,47.0,75.3,Yes
EMP-0337,Morgan Davis,Finance,REG-01,2024-01-01,88.5,98.1,37.0,78.7,No
EMP-0338,Morgan Williams,Sales,REG-02,2022-04-18,83.2,93.3,51.5,80.6,No
EMP-0339,Alex Johnson,Sales,REG-03,2022-02-03,96.6,88.1,74.3,92.9,No
EMP-0340,Jordan Brown,Sales,REG-04,2024-02-05,63.9,97.3,63.3,78.5,No
EMP-0341,Alex Gonzalez,Engineering,REG-01,2024-06-24,84.6,90.8,74.9,89.2,No
EMP-0342,Chris Hernandez,Engineering,REG-05,2024-02-09,98.6,95.8,28.1,78.7,No
EMP-0343,Sam Wilson,Engineering,REG-04,2024-04-21,80.4,98.0,74.5,89.5,No
EMP-0344,Jordan Brown,Marketing,REG-03,2022-08-17,73.2,87.5,18.4,62.4,No
EMP-0345,Taylor Rodriguez,Operations,REG-04,2023-06-20,89.0,92.1,64.6,87.5,No
EMP-0346,Alex Lopez,Finance,REG-04,2022-04-25,96.9,86.6,11.9,69.2,No
EMP-0347,Jordan Gonzalez,Operations,REG-04,2024-09-26,92.6,86.9,24.2,72.2,No
EMP-0348,Quinn Martinez,Engineering,REG-04,2022-09-15,78.8,96.6,47.5,78.3,No
EMP-0349,Skyler Brown,Sales,REG-04,2024-06-18,76.3,97.9,73.0,87.3,Yes
EMP-0350,Quinn Jones,Operations,REG-01,2023-11-21,88.2,93.2,64.9,87.6,No
EMP-0351,Casey Smith,Sales,REG-02,2023-10-29,70.0,98.0,23.6,66.2,No
EMP-0352,Morgan Anderson,Marketing,REG-02,2022-06-16,97.8,86.8,51.0,84.3,No
EMP-0353,Pat Martinez,Engineering,REG-04,2023-07-19,73.7,91.8,37.9,71.2,No
EMP-0354,Pat Gonzalez,Marketing,REG-03,2022-03-09,77.0,95.4,27.2,69.6,No
EMP-0355,Cameron Anderson,HR,REG-02,2022-04-02,72.6,96.0,68.7,83.6,No
EMP-0356,Skyler Williams,Marketing,REG-01,2022-01-05,78.7,85.1,23.8,65.9,Yes
EMP-0357,Skyler Hernandez,Operations,REG-03,2024-07-03,90.5,89.2,24.8,72.3,No
EMP-0358,Jordan Martinez,Operations,REG-02,2023-08-15,65.3,93.1,30.5,65.5,Yes
EMP-0359,Alex Smith,HR,REG-01,2024-01-27,76.6,97.1,15.2,65.5,Yes
EMP-0360,Skyler Brown,Sales,REG-02,2022-04-14,74.4,86.1,43.3,71.8,No
EMP-0361,Quinn Lopez,Operations,REG-04,2023-12-17,71.3,95.7,27.2,67.4,No
EMP-0362,Cameron Martinez,HR,REG-02,2022-11-14,81.4,86.4,32.8,70.8,No
EMP-0363,Cameron Gonzalez,HR,REG-04,2023-03-07,70.1,99.9,44.3,74.6,No
EMP-0364,Dakota Gonzalez,Marketing,REG-01,2022-11-24,78.4,93.3,32.5,71.5,No
EMP-0365,Skyler Johnson,Finance,REG-05,2024-02-28,63.0,91.7,44.5,69.4,No
EMP-0366,Taylor Brown,Operations,REG-03,2024-02-23,81.9,92.6,33.9,73.3,No
EMP-0367,Pat Wilson,Engineering,REG-01,2024-02-20,86.2,94.0,21.3,70.7,No
EMP-0368,Alex Williams,HR,REG-03,2023-03-22,89.6,97.6,35.9,78.6,No
EMP-0369,Quinn Davis,Marketing,REG-02,2022-02-07,74.0,91.6,11.9,61.5,Yes
EMP-0370,Skyler Rodriguez,Marketing,REG-01,2023-01-06,75.0,89.0,55.7,77.6,No
EMP-0371,Avery Gonzalez,Finance,REG-04,2023-11-12,88.2,88.2,44.1,78.3,No
EMP-0372,Morgan Rodriguez,Sales,REG-02,2024-06-28,77.2,97.3,68.8,85.9,No
EMP-0373,Chris Lopez,Marketing,REG-02,2023-01-28,61.9,93.4,33.3,65.3,No
EMP-0374,Pat Hernandez,Operations,REG-04,2022-06-01,94.8,87.8,46.1,81.5,No
EMP-0375,Alex Davis,Marketing,REG-04,2022-09-14,65.3,91.7,72.5,80.8,No
EMP-0376,Taylor Davis,Sales,REG-02,2024-08-23,73.2,95.9,77.7,87.2,No
EMP-0377,Pat Lopez,Finance,REG-03,2023-09-11,64.9,98.4,40.2,70.6,No
EMP-0378,Riley Martinez,Sales,REG-04,2024-07-06,86.2,85.5,28.4,70.8,No
EMP-0379,Casey Miller,Operations,REG-02,2022-06-30,62.2,90.0,35.9,65.3,Yes
EMP-0380,Alex Garcia,Sales,REG-05,2024-08-24,92.5,96.6,43.2,82.2,No
EMP-0381,Reese Johnson,HR,REG-05,2024-05-24,77.5,99.3,64.4,84.9,No
EMP-0382,Avery Hernandez,Engineering,REG-03,2023-02-26,77.6,96.1,45.0,76.7,No
EMP-0383,Riley Lopez,HR,REG-03,2022-09-18,66.2,97.8,51.1,75.0,No
EMP-0384,Morgan Wilson,Operations,REG-03,2022-05-31,93.0,92.2,70.2,91.2,No
EMP-0385,Taylor Davis,Engineering,REG-02,2022-07-04,62.3,87.6,76.1,79.7,Yes
EMP-0386,Jordan Johnson,Sales,REG-04,2024-04-30,74.5,98.3,39.8,74.2,Yes
EMP-0387,Riley Johnson,Marketing,REG-02,2022-02-28,90.4,87.4,71.8,89.3,No
EMP-0388,Sam Jones,Operations,REG-04,2023-08-14,81.6,85.5,22.3,66.7,Yes
EMP-0389,Pat Martinez,Sales,REG-02,2023-08-22,93.4,87.7,12.1,68.2,Yes
EMP-0390,Pat Martinez,Operations,REG-01,2022-04-08,98.9,98.4,22.9,77.7,No
EMP-0391,Riley Wilson,Sales,REG-01,2023-03-09,81.3,98.0,41.5,77.5,No
EMP-0392,Quinn Smith,Finance,REG-01,2023-02-14,96.0,91.7,64.5,90.1,No
EMP-0393,Avery Smith,Sales,REG-03,2023-08-21,67.7,87.8,68.5,79.1,No
EMP-0394,Cameron Jones,Marketing,REG-05,2022-08-18,93.3,97.9,40.8,82.0,No
EMP-0395,Quinn Davis,Marketing,REG-02,2024-07-26,81.7,93.1,77.1,89.5,Yes
EMP-0396,Pat Gonzalez,HR,REG-03,2022-03-04,66.1,90.2,61.0,76.4,No
EMP-0397,Casey Garcia,Sales,REG-05,2022-08-13,88.8,88.4,42.3,77.9,No
EMP-0398,Quinn Davis,Finance,REG-05,2024-05-31,63.4,98.4,18.3,61.7,No
EMP-0399,Chris Hernandez,Sales,REG-03,2024-09-25,90.1,97.3,14.2,70.6,No
EMP-0400,Reese Miller,Marketing,REG-04,2023-10-24,72.9,87.6,70.4,81.8,No
EMP-0401,Sam Garcia,Finance,REG-05,2023-05-16,70.3,96.2,51.0,76.1,Yes
EMP-0402,Reese Smith,Operations,REG-05,2023-03-22,71.8,85.0,62.4,77.6,No
EMP-0403,Quinn Miller,Sales,REG-02,2022-02-15,81.3,95.0,74.6,89.0,No
EMP-0404,Skyler Wilson,Finance,REG-05,2022-02-17,66.5,96.6,73.3,83.1,No
EMP-0405,Sam Anderson,Finance,REG-05,2022-02-03,70.9,93.1,74.0,84.0,No
EMP-0406,Taylor Anderson,Finance,REG-03,2024-09-07,67.5,88.1,10.5,57.4,Yes
EMP-0407,Chris Johnson,Sales,REG-02,2024-04-09,74.6,94.8,33.2,70.7,No
EMP-0408,Alex Johnson,Operations,REG-02,2022-12-12,71.1,96.9,57.8,79.2,Yes
EMP-0409,Skyler Miller,Operations,REG-05,2024-04-12,81.6,93.4,58.7,82.7,No
EMP-0410,Morgan Gonzalez,Finance,REG-02,2024-06-15,66.3,97.7,37.6,69.9,Yes
EMP-0411,Pat Williams,Sales,REG-05,2022-01-28,73.5,96.2,47.7,76.1,No
EMP-0412,Jordan Williams,HR,REG-03,2022-04-03,66.3,93.7,41.1,70.0,No
EMP-0413,Dakota Miller,HR,REG-05,2023-09-08,84.0,99.3,18.3,70.3,No
EMP-0414,Riley Miller,Finance,REG-01,2023-05-08,77.9,93.8,29.4,70.3,Yes
EMP-0415,Alex Miller,Finance,REG-05,2024-03-04,93.8,94.6,49.6,84.5,No
EMP-0416,Chris Martinez,Sales,REG-05,2022-05-16,67.1,91.7,59.2,76.5,Yes
EMP-0417,Chris Brown,Engineering,REG-04,2022-05-12,96.8,97.8,29.2,79.0,No
EMP-0418,Avery Wilson,Operations,REG-04,2022-09-15,74.9,98.5,19.9,67.0,Yes
EMP-0419,Dakota Miller,Sales,REG-04,2024-04-08,89.9,85.4,50.0,80.3,No
EMP-0420,Reese Anderson,Operations,REG-03,2022-11-19,94.1,89.1,23.4,73.1,No
EMP-0421,Jordan Garcia,Engineering,REG-02,2024-05-30,72.9,85.1,16.6,60.9,Yes
EMP-0422,Quinn Williams,Sales,REG-05,2023-10-18,64.1,88.6,68.9,78.1,No
EMP-0423,Riley Davis,Operations,REG-04,2023-10-16,65.4,92.0,78.2,83.1,No
EMP-0424,Reese Jones,Finance,REG-02,2024-09-21,63.6,93.2,59.6,75.8,No
EMP-0425,Quinn Hernandez,HR,REG-05,2024-03-21,64.3,87.7,74.9,80.1,Yes
EMP-0426,Quinn Rodriguez,Marketing,REG-04,2022-02-12,76.8,94.5,68.1,84.6,No
EMP-0427,Morgan Anderson,Finance,REG-02,2023-08-27,83.0,93.4,34.8,74.3,No
EMP-0428,Dakota Smith,Finance,REG-03,2023-04-24,87.9,95.0,77.2,92.6,No
EMP-0429,Cameron Rodriguez,HR,REG-05,2024-03-15,90.6,96.0,47.1,82.7,No
EMP-0430,Casey Williams,HR,REG-04,2023-12-29,91.0,87.0,65.2,87.0,Yes
EMP-0431,Casey Jones,Marketing,REG-04,2022-05-09,85.7,96.7,35.4,76.6,No
EMP-0432,Skyler Gonzalez,Engineering,REG-03,2024-01-25,74.6,96.8,37.4,72.9,No
EMP-0433,Taylor Williams,HR,REG-01,2024-02-13,64.1,87.8,61.1,74.9,No
EMP-0434,Avery Miller,Finance,REG-03,2023-04-03,66.7,91.2,51.2,73.2,No
EMP-0435,Taylor Hernandez,Sales,REG-01,2024-05-21,96.9,96.9,27.2,78.0,No
EMP-0436,Sam Martinez,Operations,REG-02,2023-09-01,60.4,85.2,59.2,71.9,No
EMP-0437,Taylor Wilson,Engineering,REG-04,2022-02-10,65.2,91.0,28.4,64.0,No
EMP-0438,Chris Wilson,Sales,REG-05,2023-01-05,76.8,87.8,43.4,73.3,No
EMP-0439,Alex Smith,Engineering,REG-02,2023-09-22,62.9,96.1,15.9,60.0,Yes
EMP-0440,Chris Gonzalez,Finance,REG-05,2023-09-27,66.9,87.4,68.5,78.7,Yes
EMP-0441,Dakota Brown,Marketing,REG-01,2023-12-13,61.8,99.5,75.2,82.8,No
EMP-0442,Riley Hernandez,Sales,REG-03,2023-02-14,71.0,86.7,58.0,76.2,No
EMP-0443,Skyler Smith,Marketing,REG-04,2024-06-10,65.1,89.2,59.6,75.1,No
EMP-0444,Chris Smith,Sales,REG-05,2022-11-30,68.9,87.6,29.0,64.7,Yes
EMP-0445,Skyler Miller,Engineering,REG-02,2024-05-27,68.7,86.7,78.8,83.0,No
EMP-0446,Quinn Miller,Sales,REG-01,2023-10-21,96.5,94.3,29.8,78.1,Yes
EMP-0447,Pat Jones,Finance,REG-02,2024-01-03,63.9,90.2,73.0,80.0,No
EMP-0448,Cameron Lopez,Finance,REG-04,2022-07-02,78.1,94.9,37.2,73.7,No
EMP-0449,Pat Anderson,Sales,REG-04,2024-05-29,87.0,96.9,52.3,83.5,No
EMP-0450,Alex Wilson,HR,REG-04,2024-04-08,62.7,89.9,33.8,64.7,No
EMP-0451,Riley Smith,Sales,REG-04,2023-09-27,84.0,87.8,31.0,71.6,No
EMP-0452,Cameron Williams,HR,REG-05,2022-08-13,77.4,89.0,28.7,68.4,No
EMP-0453,Taylor Brown,HR,REG-03,2023-03-15,90.5,96.9,45.1,82.2,No
EMP-0454,Sam Davis,Operations,REG-01,2022-06-19,74.0,89.4,47.5,74.2,No
EMP-0455,Pat Wilson,Finance,REG-04,2023-07-27,82.1,89.2,42.7,75.6,No
EMP-0456,Pat Lopez,Engineering,REG-03,2022-03-06,85.5,99.7,10.2,67.9,Yes
EMP-0457,Casey Wilson,HR,REG-03,2023-05-09,88.9,89.0,16.4,68.4,No
EMP-0458,Morgan Garcia,Operations,REG-05,2022-01-17,92.6,85.5,64.7,87.0,No
EMP-0459,Jordan Jones,Engineering,REG-04,2022-02-21,71.9,97.7,54.5,78.5,No
EMP-0460,Sam Brown,Marketing,REG-05,2024-09-06,95.4,88.9,24.9,74.2,Yes
EMP-0461,Reese Miller,Sales,REG-05,2024-02-10,77.6,94.8,69.9,85.7,No
EMP-0462,Sam Anderson,Marketing,REG-04,2022-05-15,86.5,90.8,26.4,71.7,No
EMP-0463,Quinn Anderson,Sales,REG-03,2023-11-06,71.6,95.4,46.4,74.7,No
EMP-0464,Reese Martinez,Operations,REG-01,2024-08-18,62.3,91.8,74.7,80.5,No
EMP-0465,Skyler Johnson,Sales,REG-05,2022-11-12,73.0,95.5,55.5,78.7,No
EMP-0466,Pat Smith,HR,REG-02,2023-01-08,76.1,98.2,12.3,64.5,No
EMP-0467,Morgan Lopez,Finance,REG-04,2022-10-01,95.7,93.9,27.2,76.7,Yes
EMP-0468,Riley Hernandez,Marketing,REG-02,2022-01-23,91.9,92.1,65.4,88.9,No
EMP-0469,Casey Anderson,Finance,REG-02,2024-01-23,67.2,91.2,70.0,80.5,No
EMP-0470,Avery Jones,Sales,REG-05,2022-01-17,90.1,91.8,55.3,84.3,No
EMP-0471,Morgan Rodriguez,HR,REG-05,2024-04-07,92.2,90.8,62.6,87.6,No
EMP-0472,Morgan Jones,Engineering,REG-02,2023-12-15,80.1,94.3,69.3,86.3,No
EMP-0473,Pat Smith,Engineering,REG-03,2024-03-28,98.8,89.8,11.5,70.8,No
EMP-0474,Sam Martinez,Finance,REG-02,2024-04-28,64.6,91.8,28.4,64.0,No
EMP-0475,Pat Gonzalez,Engineering,REG-01,2023-07-13,93.7,95.2,41.0,81.4,No
EMP-0476,Morgan Williams,Sales,REG-01,2023-02-16,89.8,93.7,77.4,93.1,No
EMP-0477,Alex Davis,Finance,REG-05,2023-08-19,66.9,97.6,68.8,81.8,No
EMP-0478,Dakota Wilson,Operations,REG-02,2023-05-18,64.7,87.3,59.2,74.3,No
EMP-0479,Quinn Brown,Finance,REG-04,2022-04-03,77.8,98.7,10.4,64.6,No
EMP-0480,Skyler Jones,Operations,REG-03,2022-06-25,75.8,89.4,12.1,61.7,No
EMP-0481,Dakota Rodriguez,Engineering,REG-02,2024-09-22,94.5,95.1,26.6,76.3,No
EMP-0482,Avery Hernandez,Operations,REG-01,2022-04-26,71.0,96.6,52.7,77.1,No
EMP-0483,Alex Miller,Operations,REG-02,2022-03-07,84.1,97.3,40.7,78.1,Yes
EMP-0484,Sam Martinez,Operations,REG-02,2024-09-08,99.0,88.5,73.9,93.9,No
EMP-0485,Sam Hernandez,Finance,REG-01,2023-12-16,65.7,98.1,57.5,77.3,No
EMP-0486,Riley Lopez,Operations,REG-01,2023-03-01,78.4,97.9,10.4,64.6,No
EMP-0487,Avery Jones,Engineering,REG-02,2023-11-26,64.4,98.2,46.9,72.8,No
EMP-0488,Quinn Anderson,Sales,REG-01,2023-01-24,85.4,88.8,64.1,84.8,No
EMP-0489,Avery Williams,Engineering,REG-05,2022-04-06,72.8,88.0,41.4,71.0,Yes
EMP-0490,Riley Smith,Operations,REG-02,2023-02-27,84.6,85.6,71.6,86.4,No
EMP-0491,Casey Hernandez,Operations,REG-01,2023-06-15,85.0,98.0,70.1,89.7,No
EMP-0492,Pat Williams,Operations,REG-02,2023-09-08,96.9,93.3,55.6,87.6,No
EMP-0493,Skyler Jones,Operations,REG-03,2024-02-10,96.9,94.9,11.3,71.5,Yes
EMP-0494,Casey Hernandez,Operations,REG-03,2024-09-01,82.0,94.6,42.7,77.2,No
EMP-0495,Jordan Miller,Operations,REG-01,2023-03-10,96.5,95.3,60.3,89.8,No
EMP-0496,Pat Wilson,Sales,REG-02,2024-03-30,78.4,90.9,11.1,62.8,Yes
EMP-0497,Taylor Wilson,Sales,REG-02,2023-10-02,64.7,85.9,63.0,75.3,No
EMP-0498,Cameron Miller,Finance,REG-03,2022-10-15,70.5,89.9,51.6,74.5,No
EMP-0499,Taylor Hernandez,HR,REG-03,2023-06-19,86.5,98.1,73.0,91.4,No
EMP-0500,Alex Lopez,Engineering,REG-03,2024-04-09,85.8,94.9,30.9,74.4,No
